アビリティ,,,,,
id,name,nameK,hasChou,hasLong,hasGrade
A1,アンチ重力バリア,アンチジュウリョクバリア,TRUE,,
A2,アンチダメージウォール,アンチダメージウォール,TRUE,,
A3,アンチワープ,アンチワープ,TRUE,,
A4,マインスイーパー,マインスイーパー,TRUE,,TRUE
A5,飛行,ヒコウ,,,
A6,アンチブロック,アンチブロック,,,
A7,アンチウィンド,アンチウィンド,TRUE,,
A8,アンチ魔法陣,アンチマホウジン,,,
A9,魔法陣ブースト,マホウジンブースト,,,TRUE
A10,アンチ減速壁,アンチゲンソクカベ,TRUE,,
A11,アンチ転送壁,アンチテンソウカベ,TRUE,,
A12,アンチ減速床,アンチゲンソクユカ,TRUE,,
A13,キラー,キラー,,,
A14,封じ,フウジ,,,
A15,耐性,タイセイ,,,
A16,シールドブレイカー,シールドブレイカー,,,
A17,ビットンブレイカー,ビットンブレイカー,,,
A18,ダブルブレイカー,ダブルブレイカー,,,
A19,回復,カイフク,,,TRUE
A20,状態異常回復,ジョウタイイジョウカイフク,,,
A21,リジェネ,リジェネ,TRUE,,TRUE
A22,ノーダメヒール,ノーダメヒール,,,
A23,ドレイン,ドレイン,,,TRUE
A24,エナジードレイン,エナジードレイン,,,
A25,ソウルスティール,ソウルスティール,,,TRUE
A26,ファイアイーター,ファイアイーター,,,
A27,バリア,バリア,,,
A28,ハートバリア,ハートバリア,,,
A29,段ボールバリア,ダンボールバリア,,,
A30,A.T.フィールド,A.T.フィールド,,,
A31,バリア,バリア,,,TRUE
A32,リザレクションバリア,リザレクションバリア,,,
A33,プロテクション,プロテクション,,,
A34,友情コンボ×2,ユウジョウコンボ×2,,,
A35,レーザーストップ,レーザーストップ,TRUE,,TRUE
A36,底力,ソコヂカラ,TRUE,,TRUE
A37,友情底力,ユウジョウソコヂカラ,TRUE,,TRUE
A38,状態異常底力,ジョウタイイジョウソコヂカラ,,,TRUE
A39,敵少底力,テキショウソコヂカラ,,,TRUE
A40,敵多底力,テキタソコヂカラ,,,TRUE
A41,友情ブースト,ユウジョウブースト,,,TRUE
A42,ダッシュ,ダッシュ,,,TRUE
A43,睡眠無効,スイミンムコウ,,,
A44,毒無効,ドクムコウ,,,
A45,状態異常レジスト,ジョウタイイジョウレジスト,,,
A46,バリア付与,バリアフヨ,,,TRUE
A47,飛行付与,ヒコウフヨ,,,
A48,SSターン短縮,SSターンタンシュク,TRUE,,
A49,SSターンアクセル,SSターンアクセル,TRUE,,
A50,SSターンチャージ,SSターンチャージ,,,TRUE
A51,SSターンブースト,SSターンブースト,,,
A52,壁SSターン短縮,カベSSターンタンシュク,,,
A53,SSターンヘイスト,SSターンヘイスト,,,
A54,SSターンヘイスト・フルバイタル,SSターンヘイスト・フルバイタル,,,
A55,ゲージ倍率保持,ゲージバイリツホジ,,,
A56,パワーモード,パワーモード,,TRUE,TRUE
A57,シールドモード,シールドモード,,TRUE,TRUE
A58,スピードモード,スピードモード,,TRUE,TRUE
A59,バブリーモード,バブリーモード,,TRUE,TRUE
A60,パワーオーラ,パワーオーラ,,,TRUE
A61,渾身,コンシン,,,
A62,ウォールブースト,ウォールブースト,,,TRUE
A63,攻撃力チャージ,コウゲキリョクチャージ,,,TRUE
A64,防御力チャージ,ボウギョリョクチャージ,,,TRUE
A65,友情コンボチャージ,ユウジョウコンボチャージ,,,TRUE
A66,バブリーチャージ,バブリーチャージ,,,TRUE
A67,経験値アップ,ケイケンチアップ,,,
A68,ボスドロップアップ,ボスドロップアップ,,,
A69,治癒の祈り,チユノイノリ,,,
A70,ユイの応援,ユイノオウエン,,,
A71,シンクロ,シンクロ,,,
A72,滅竜魔導士,ドラゴンスレイヤー,,,
A73,立体機動装置,リッタイキドウソウチ,,,
A74,新型立体機動装置,シンガタリッタイキドウソウチ,,,
