キラー,,,
id,target,targetK,hasGrade
K1,全属性,ゼンゾクセイ,TRUE
K2,火属性,ヒゾクセイ,TRUE
K3,水属性,ミズゾクセイ,TRUE
K4,木属性,キゾクセイ,TRUE
K5,光属性,ヒカリゾクセイ,TRUE
K6,闇属性,ヤミゾクセイ,TRUE
K7,カウンター,カウンター,TRUE
K8,弱点,ジャクテン,TRUE
K9,重力バリア,ジュウリョクバリア,TRUE
K10,毒,ドク,TRUE
K11,バイタル,バイタル,TRUE
K12,連撃,レンゲキ,TRUE
K13,レーザーバリア,レーザーバリア,TRUE
K14,ファースト,ファースト,TRUE
K15,アップポジション,アップポジション,TRUE
K16,ダウンポジション,ダウンポジション,TRUE
K17,レフトポジション,レフトポジション,TRUE
K18,ライトポジション,ライトポジション,TRUE
K19,アウトポジション,アウトポジション,TRUE
K20,アタックターン,アタックターン,TRUE
K21,ザコ,ザコ,TRUE
K22,中ボス,チュウボス,TRUE
K23,ボス,ボス,TRUE
K24,攻撃変化,コウゲキヘンカ,TRUE
K25,防御変化,ボウギョヘンカ,TRUE
K26,ドラゴン,ドラゴン,TRUE
K27,ロボット,ロボット,TRUE
K28,魔人,マジン,TRUE
K29,神,カミ,TRUE
K30,鳥,トリ,TRUE
K31,獣,ケモノ,TRUE
K32,亜人,アジン,TRUE
K33,魔族,マゾク,TRUE
K34,妖精,ヨウセイ,TRUE
K35,鉱物,コウブツ,TRUE
K36,魔王,マオウ,TRUE
K37,幻獣,ゲンジュウ,TRUE
K38,ユニバース,ユニバース,TRUE
K39,聖騎士,セイキシ,TRUE
K40,サムライ,サムライ,TRUE
K41,ユニオン,ユニオン,TRUE
K42,アクシス,アクシス,TRUE
K43,幻妖,ゲンヨウ,TRUE
K44,ファイター,ファイター,TRUE
K45,闘神,トウシン,TRUE
K46,神獣,シンジュウ,TRUE
